city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,38,12,15,0.3,6,74,74,7
阿克苏地区,159,54,266,0.5,16,69,69,10
阿拉善盟,41,12,25,0.4,5,80,80,7
阿勒泰地区,28,3,9,0.9,4,54,54,7
阿里地区,24,0,5,0.5,4,71,46,4
安康,100,52,149,0.6,21,42,42,26
安庆,22,6,13,0.55,21,46,43,6
鞍山,50,10,49,0.43,13,55,55,9
安顺,66,47,52,0.8,19,15,14,9
安阳,86,56,119,0.86,35,40,28,11
白城,33,14,24,0.65,12,65,65,9
百色,46,29,45,0.55,13,69,69,16
白山,80,58,78,0.85,14,49,49,17
白银,65,22,78,0.6,14,68,68,118
保定,33,15,32,0.3,9,58,58,3
宝鸡,77,31,101,0.44,24,60,60,5
保山,42,8,22,0.2,10,82,82,4
包头,48,8,47,0.33,10,57,57,8
巴彦淖尔,41,10,28,0.43,11,81,81,7
巴中,89,42,126,0.43,12,51,37,2
北海,46,16,34,0.8,10,90,90,9
北京,30,6,29,0.28,7,54,54,2
蚌埠,56,39,56,0.43,28,50,50,7
本溪,33,13,32,0.53,18,43,43,15
毕节,28,15,27,0.85,23,12,12,11
滨州,47,8,46,0.47,14,62,62,7
博州,83,59,114,0.9,12,51,51,8
亳州,75,49,98,0.7,23,32,32,3
沧州,50,16,49,0.23,11,63,63,11
长春,26,11,22,0.51,16,51,51,8
常德,72,45,91,0.74,20,35,37,5
昌都,29,19,20,0.65,10,56,56,2
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,419,376,0,1.3,13,44,27,7
长沙,13,7,8,0.59,24,14,14,5
常熟,41,20,40,0.55,35,46,53,13
长治,48,11,47,0.53,13,62,54,7
常州,50,28,49,0.89,42,28,32,8
朝阳,45,11,44,0.55,8,58,58,6
潮州,57,37,62,0.93,20,116,73,13
承德,34,10,33,0.23,6,63,63,4
成都,85,41,117,0.62,44,29,31,6
郴州,16,11,14,0.63,19,14,14,5
赤峰,29,6,28,0.5,11,48,49,7
池州,22,6,7,0.3,28,44,42,9
重庆,22,15,20,0.9,29,6,6,5
崇左,40,20,39,0.45,9,65,65,5
楚雄州,36,4,8,0.4,4,71,71,12
滁州,38,26,35,0.33,21,48,48,6
大连,30,12,28,0.41,13,58,58,7
大理州,43,5,24,0.75,12,85,85,4
丹东,54,28,55,0.65,16,45,35,19
大庆,28,16,27,0.32,16,53,53,11
大同,39,6,38,0.32,7,62,56,9
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,28,11,19,0.25,11,54,54,9
达州,64,34,76,0.48,31,38,38,8
德宏州,51,26,50,0.6,12,75,75,44
德阳,81,29,109,0.35,19,53,53,4
德州,54,6,56,0.17,10,62,50,4
定西,67,25,81,0.25,8,70,70,5
迪庆州,33,13,18,0.45,11,78,64,2
东莞,77,48,62,0.76,34,131,131,7
东营,46,6,45,0.2,13,67,45,3
鄂尔多斯,36,6,35,0.42,9,66,66,5
恩施州,62,22,72,0.7,15,41,41,7
鄂州,19,9,18,0.57,18,29,29,3
防城港,47,23,46,0.7,11,77,41,8
佛山,86,36,59,0.61,32,141,141,6
抚顺,28,8,27,0.27,9,54,54,9
阜新,32,7,31,0.38,4,61,61,6
阜阳,41,23,40,0.37,11,56,56,3
富阳,13,6,11,0.8,16,28,25,1
福州,54,20,56,0.57,28,62,50,6
抚州,24,6,23,0.57,12,29,29,5
甘南州,48,0,0,0.0,7,95,95,8
赣州,19,8,18,1.27,22,11,11,8
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,26,18,25,0.4,21,19,51,2
广安,51,18,50,0.56,15,34,35,8
广元,87,35,122,0.75,18,48,48,8
广州,86,33,51,0.65,32,141,141,6
贵港,66,42,79,1.0,15,31,31,5
桂林,17,6,16,0.83,19,14,14,7
贵阳,35,22,34,0.72,14,14,14,7
果洛州,64,9,21,0.9,5,115,115,3
固原,58,14,63,0.5,12,69,62,7
哈尔滨,26,12,25,0.47,16,50,45,11
海北州,49,6,26,0.8,6,97,97,6
海东地区,69,19,85,0.7,0,73,52,12
海口,31,11,30,0.48,8,49,49,3
海门,36,13,35,0.6,15,58,61,5
海南州,57,5,62,0.3,2,91,91,8
海西州,71,9,30,0.2,13,124,124,7
哈密地区,64,22,76,1.6,16,38,38,9
邯郸,76,37,100,0.6,23,47,47,10
杭州,21,11,20,0.6,39,33,33,6
汉中,104,45,155,0.6,18,49,49,6
鹤壁,90,60,127,1.13,38,38,38,7
河池,12,8,11,0.83,10,21,21,7
合肥,38,26,34,0.51,29,38,38,4
鹤岗,32,18,31,0.53,9,57,57,12
黑河,40,13,39,0.5,9,54,54,10
衡水,48,17,47,0.4,8,61,47,5
衡阳,15,4,7,0.53,28,11,11,6
和田地区,494,100,593,0.55,11,54,54,11
河源,56,29,41,0.8,16,106,106,6
菏泽,113,78,174,0.87,38,41,41,8
贺州,18,7,17,0.7,22,10,10,12
红河州,31,8,16,0.37,5,76,61,9
淮安,63,33,73,0.64,21,51,51,5
淮北,91,67,95,0.53,32,30,30,9
怀化,24,8,16,0.58,9,47,47,4
淮南,53,36,49,0.45,22,39,35,10
黄冈,19,8,18,0.45,17,26,24,5
黄南州,61,22,70,1.5,17,54,54,14
黄山,22,15,15,0.5,14,42,42,6
黄石,28,13,27,0.62,21,39,21,4
呼和浩特,29,7,21,0.65,12,56,56,10
惠州,53,30,54,0.68,22,85,85,8
葫芦岛,36,8,35,0.55,10,54,54,9
呼伦贝尔,28,15,24,0.4,9,58,55,3
湖州,54,37,53,0.67,43,51,49,13
佳木斯,30,20,29,0.38,12,50,50,6
吉安,26,9,25,0.5,23,20,20,11
江门,65,34,61,0.68,35,116,116,11
江阴,47,25,46,0.35,26,41,46,5
胶南,86,63,116,0.9,33,33,26,9
胶州,58,35,63,0.7,26,36,21,11
焦作,94,70,105,0.94,30,55,59,6
嘉兴,22,8,17,0.43,27,42,42,3
嘉峪关,36,17,26,0.35,9,71,71,3
揭阳,119,89,118,1.27,39,130,130,14
吉林,28,12,26,0.47,12,54,54,7
即墨,36,23,35,0.6,20,46,24,5
济南,63,13,73,0.3,20,53,53,5
金昌,32,6,26,0.37,4,66,63,10
晋城,53,10,54,0.33,16,68,68,8
景德镇,8,5,6,0.44,11,25,15,4
荆门,86,59,120,0.92,29,35,29,9
荆州,78,39,104,0.93,23,33,24,10
金华,18,3,7,0.37,35,22,17,4
济宁,107,67,162,1.07,32,23,23,7
金坛,53,36,43,1.25,31,33,41,38
晋中,58,13,63,0.53,12,64,62,6
锦州,41,10,40,0.58,10,70,70,19
九江,22,6,12,0.56,17,30,42,5
酒泉,32,17,16,0.5,12,68,63,8
鸡西,24,13,20,0.35,13,47,47,3
句容,61,43,59,0.9,31,40,47,4
